seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,energy,maxenergy
2,2,2,9980,145,-3,-60,2,0,0
1,2,1,23710,387,-32,-31,1,1000,1000
2,1,2,12650,214,52,27,1,0,0
1,1,2,6130,129,-27,-50,1,0,0
2,2,1,64790,909,117,76,1,8000,8000
1,1,1,19580,439,-44,-24,1,0,0
2,1,1,21660,433,-30,-14,1,0,0
1,1,1,28380,628,14,26,1,20000,20000
1,2,1,40480,639,51,-2,1,0,0
2,1,2,16380,736,63,112,1,0,0
2,1,2,18440,398,122,137,1,200,200
2,1,2,11010,319,32,90,1,0,0
2,2,1,17580,406,-38,-16,1,0,0
1,1,1,14580,321,-60,-47,1,0,0
2,2,1,40770,910,20,-10,1,0,0
1,2,1,52200,828,95,27,1,10000,10000
1,2,1,24650,391,-30,-30,1,0,0
2,1,1,56940,769,72,48,1,40000,40000
1,2,1,28440,405,-19,-27,1,0,0
1,2,1,57040,754,99,52,1,3000,3000
2,1,1,27390,674,-17,30,1,0,0
1,2,1,17300,367,-40,-27,1,0,0
1,2,1,69240,857,142,73,1,0,0
2,2,1,51560,1088,52,8,1,0,0
1,1,2,13610,262,46,-19,1,0,0
1,2,2,17930,347,668,323,3,0,0
1,1,1,36680,513,47,3,1,0,0
1,1,1,36860,681,0,12,1,3000,3000
1,2,1,43030,625,50,26,1,300,300
2,1,1,38220,1192,33,35,1,6000,6000
1,1,2,9660,511,-4,47,1,0,0
1,2,2,24150,364,176,90,1,5000,5000
1,2,1,37440,686,7,-35,1,0,0
1,2,1,14000,286,-59,-48,1,0,0
1,1,2,9000,241,31,40,1,0,0
2,1,2,11080,343,33,104,1,0,0
1,1,2,4170,181,-49,-34,1,0,0
1,1,2,23440,514,151,59,1,8000,8000
1,1,2,29310,445,214,38,1,0,0
2,2,1,32780,677,15,8,2,10000,10000
2,2,1,21900,276,128,71,1,600,600
2,1,1,28510,805,-7,-13,1,10000,10000
1,2,1,69880,855,144,72,1,1200,800
1,1,2,9990,118,17,-56,1,1000,1000
1,1,1,22220,415,-5,-11,1,7000,7000
2,1,1,44980,597,45,19,1,0,0
2,2,2,21190,402,105,6,2,6000,6000
1,2,2,22610,242,193,30,1,0,0
1,2,2,8690,92,-12,-74,1,4000,4000
2,2,1,37610,1004,11,0,1,0,0
2,2,2,2970,142,-71,-61,2,0,0
1,2,1,21350,376,-38,-31,1,0,0
2,2,1,44640,743,58,54,1,0,0
1,1,2,3470,84,-59,-69,1,0,0
2,1,1,26940,429,-18,-17,1,0,0
1,2,2,16060,335,83,74,1,0,0
1,1,1,11410,250,-67,-57,1,0,0
2,2,2,6660,153,-35,-58,2,0,0
2,2,2,13110,417,57,148,1,0,0
1,1,1,22530,328,-39,-46,1,400,400
1,2,1,18680,586,-47,-44,1,2500,2000
1,1,1,14580,308,-42,-38,1,0,0
2,1,1,27440,635,-5,-28,1,400,400
2,1,2,13160,271,58,61,1,0,0
1,1,2,12170,226,30,-30,1,0,0
1,1,1,18130,463,-51,-24,1,0,0
2,2,1,31160,623,-6,20,1,400,400
2,2,2,12780,376,23,-1,2,0,0
1,1,1,19910,568,-42,-3,1,0,0
1,1,2,8030,224,31,42,1,0,0
2,2,1,26370,524,73,119,1,30000,30000
2,2,2,10600,268,2,-29,2,0,0
2,2,2,13010,322,26,-15,2,0,0
1,1,2,5480,236,-20,37,1,0,0
1,1,1,55230,904,57,56,1,0,0
2,2,2,6710,164,-35,-55,2,0,0
1,2,2,24530,626,180,226,1,0,0
2,1,1,11390,233,-66,-55,1,0,0
1,1,2,1350,112,-80,-36,1,0,0
1,2,1,29800,627,12,-4,1,0,0
2,2,1,34090,601,14,16,1,0,0
1,1,2,10040,300,7,-7,1,0,0
2,2,1,36970,1033,9,3,1,0,0
2,2,1,30220,592,6,-6,2,100,100
2,2,1,25450,504,-15,-3,1,0,0
2,2,1,38350,532,36,10,1,0,0
2,2,2,26360,459,154,21,2,700,500
1,1,2,2960,108,-76,-57,1,0,0
1,1,2,9680,139,14,-48,1,700,700
1,1,2,4310,172,-30,9,1,0,0
1,1,2,7020,98,-44,-61,1,0,0
1,2,1,35800,722,27,11,2,0,0
2,2,2,32600,880,224,153,1,60500,60000
2,2,2,23200,366,179,118,1,0,0
2,2,2,10820,426,8,22,1,3000,3000
1,1,2,10410,422,4,21,1,0,0
1,2,1,25710,365,-25,-33,1,10000,10000
1,2,2,4890,162,97,88,1,0,0
2,2,1,34820,550,16,6,1,0,0
1,1,1,64990,802,77,32,1,4000,4000
2,2,1,23050,428,-19,-32,2,0,0
2,1,2,10020,370,0,6,1,0,0
1,1,2,6130,111,-28,-59,1,0,0
2,2,2,7590,233,-27,-38,2,0,0
2,2,1,25130,455,-13,-42,1,1000,1000
2,2,2,4070,173,-61,-54,2,0,0
1,2,1,39850,714,13,-32,1,300,300
1,2,1,21750,635,-38,-40,1,0,0
